	Sigs160-Bindea_Tfh-cells	ERAP2	DCTN5	DHFR	FractionSubclonal	immune_DNDS	GPLD1	Escape	numLostAlleles	MHC_Class1	ITGB2	FCGR3B	PDCD1	TREX1	VAMP8	FCGR2B	CTSW	ERAP1	CTSS	NumLargeSubClones	FAM167A	LYZ	FPR1	VAMP3
ITGB2	1.6548387	1.2545269	2.2534335	0.6652863	1.4352878	0.2627426	0.93851537	1.1298405	1.320634	0.1979487	0.0	0.56379026	0.13311377	0.50126433	0.3924134	0.32151332	0.09560847	0.11976196	0.10102078	0.22490287	0.20385362	0.10016658	0.094580054	0.01791442
FCGR3B	0.8051006	1.1676418	1.1916947	1.2724822	0.42282128	0.45840687	0.35322058	0.38301137	0.8567865	0.21213883	0.5637904	0.0	0.07517494	0.30083856	0.04210805	0.0696731	0.086414225	0.16765846	0.15065041	0.0593481	0.18591052	0.085996106	0.039373778	0.01764877
PDCD1	1.1169461	0.9555921	1.664518	0.34929734	0.50323683	0.31910542	0.53997284	0.50202936	0.3206883	0.3811973	0.13311388	0.07517488	0.0	0.48905712	0.04856762	0.06530336	0.26457143	0.107752174	0.06280731	0.22693376	0.11981102	0.07569511	0.06066981	0.2773525
TREX1	0.5060904	0.8662749	1.8597187	0.7385046	0.2224144	0.2103061	0.75498986	0.15470743	0.12416144	0.36692512	0.5012643	0.30083886	0.48905703	0.0	0.24291746	0.10555837	0.020389806	0.046136804	0.057012156	0.17140359	0.11160458	0.09011346	0.10922936	0.022931611
VAMP8	2.0193174	0.3111005	0.57832986	0.27050593	1.0539374	0.20441651	1.3698611	0.54678184	0.19893838	0.084482566	0.39241332	0.04210804	0.0485676	0.24291736	0.0	0.055842128	0.12064488	0.028658522	0.062380783	0.058783755	0.039758846	0.14056814	0.040685758	0.039109994
FCGR2B	3.0551987	0.4818927	0.6867821	0.28425914	0.26255193	0.32428497	0.2181328	0.59254336	0.13454564	0.18443961	0.32151327	0.06967313	0.06530329	0.10555838	0.055842157	0.0	0.13516462	0.109388076	0.15197843	0.04148783	0.04013883	0.20695625	0.15895388	0.029604802
CTSW	0.9380589	0.72456735	0.7160521	0.82870436	0.33387426	0.96003264	0.6106495	0.43322718	0.14936258	0.21481001	0.09560851	0.08641427	0.2645714	0.020389821	0.12064492	0.13516463	0.0	0.27789322	0.26260778	0.15343611	0.035554707	0.023387497	0.029930098	0.04437289
ERAP1	0.52728695	0.30900747	1.1053909	1.2071831	0.49317193	0.6065913	0.14749065	0.91365516	0.27338412	0.28432724	0.119761996	0.16765831	0.107752144	0.04613677	0.028658504	0.10938798	0.2778933	0.0	0.05979786	0.13344654	0.18464202	0.1647851	0.052746292	0.059670318
CTSS	1.5968639	0.43826875	1.2252935	0.26182243	0.58416694	0.65709877	0.46561202	0.3879649	0.28611287	0.12645343	0.10102079	0.1506503	0.062807254	0.05701214	0.062380776	0.15197842	0.2626078	0.05979791	0.0	0.10886466	0.07155656	0.03205106	0.17879629	0.019122345
NumLargeSubClones	0.33432165	0.3396255	0.38178766	0.47210962	0.55332774	0.75634027	0.6049267	0.2791427	0.16656807	0.8088138	0.22490267	0.059348032	0.22693379	0.17140357	0.058783732	0.041487854	0.15343599	0.1334466	0.10886456	0.0	0.07352652	0.1430335	0.087124646	0.012057887
FAM167A	0.91074294	0.61665034	0.8015782	0.7221548	0.3692136	0.38978526	0.12045423	0.19704945	0.15866488	0.33634886	0.20385367	0.18591046	0.119811125	0.111604564	0.03975883	0.040138822	0.035554722	0.18464187	0.07155647	0.073526554	0.0	0.030942226	0.043081038	0.0061907102
LYZ	1.0418757	0.84997475	0.11243333	0.3650604	0.18190497	0.5658042	0.1403166	0.15632609	0.18113099	0.12729962	0.10016652	0.085996106	0.075695135	0.09011346	0.14056814	0.20695618	0.023387453	0.16478513	0.03205106	0.14303352	0.030942207	0.0	0.10270865	0.010836483
FPR1	0.5168469	0.63032955	0.19733438	0.23242629	0.514048	0.25081018	0.37135154	0.30844828	0.13269952	0.06555654	0.094580054	0.03937376	0.0606698	0.10922923	0.040685795	0.15895376	0.029930115	0.052746255	0.17879626	0.08712462	0.04308105	0.10270866	0.0	0.008668192
VAMP3	0.14672016	0.07661596	0.120170616	0.05351253	0.08401157	0.05770896	0.046613015	0.19634737	0.07849674	0.1824632	0.017914386	0.017648783	0.27735248	0.02293163	0.039110005	0.029604811	0.04437289	0.059670314	0.01912235	0.012057898	0.0061907102	0.010836469	0.008668174	0.0
